TAM_DO,TIME_DO,PI_DO,ERROR_DO
100,0.00012,2.992,0.2069202745
10000,0.006676,3.14208,0.01053876653
100000,0.075534,3.142028,0.005539820936
1000000,0.686257,3.1413036,0.001167484064
10000000,6.188021,3.14168532,0.0002507500461
100,8.5e-05,3.112,0.182252572
10000,0.005211,3.13372,0.01861272683
100000,0.072018,3.141616,0.006040376147
1000000,0.600245,3.141544,0.0009636663323
10000000,6.28894,3.14140004,0.0005994727136
100,0.000157,2.968,0.1249639948
10000,0.005653,3.1444,0.0123132449
100000,0.05859,3.141528,0.003998671779
1000000,0.634282,3.141658,0.001429383364
10000000,5.976464,3.14135904,0.0005497917628
100,9.1e-05,3.016,0.170833252
10000,0.00573,3.1512,0.01320484759
100000,0.057252,3.14314,0.00464531592
1000000,0.602576,3.1422776,0.001402243003
10000000,6.205336,3.14162348,0.0003125833546
100,0.000149,2.984,0.170833252
10000,0.008185,3.1442,0.01277278357
100000,0.058608,3.144072,0.00423557505
1000000,0.658108,3.1413324,0.001730424642
10000000,6.01609,3.141669,0.000498246726
100,0.000181,3.044,0.17568153
10000,0.005469,3.13652,0.01366929406
100000,0.060534,3.143488,0.004646712386
1000000,0.569833,3.1416476,0.001431963631
10000000,5.893796,3.14151836,0.0004743089778
100,0.000154,3.036,0.1436105846
10000,0.007931,3.14884,0.0146745494
100000,0.058446,3.145116,0.00474944881
1000000,0.592982,3.1415072,0.00243064686
10000000,6.085337,3.141623,0.000521799724
100,0.000153,2.968,0.2196724835
10000,0.009538,3.13508,0.01153228512
100000,0.075128,3.139784,0.003051410166
1000000,0.681581,3.1411492,0.001962379005
10000000,5.94056,3.14146596,0.0006013808231
100,0.00014,3.016,0.1985547783
10000,0.005823,3.14392,0.0101078979
100000,0.061526,3.142712,0.004544739376
1000000,0.600637,3.142004,0.001712590552
10000000,5.958067,3.14175428,0.0004002070284
100,0.000143,2.94,0.1592482339
10000,0.006664,3.14388,0.02091433958
100000,0.057648,3.14322,0.0058621566
1000000,0.590308,3.1422884,0.001515548693
10000000,6.393605,3.14152132,0.0004199293674
100,0.000142,3,0.1277497554
10000,0.005565,3.14312,0.01227784997
100000,0.056507,3.141116,0.004540641364
1000000,0.603978,3.1415352,0.002177756497
10000000,5.962802,3.14167168,0.0005730259275
100,0.000156,3.108,0.1012719112
10000,0.004809,3.14236,0.01113186417
100000,0.061278,3.14428,0.003790725524
1000000,0.613388,3.1420144,0.001548082892
10000000,5.9527,3.14169256,0.00057244347
100,0.000131,3.028,0.1716275036
