TAM_N,TIME_N,PI_N,ERROR_N
100,0.00024,3.155412402,0.1335738801
10000,0.012211,3.146877088,0.02136859554
100000,0.109999,3.1450234,0.007559502922
1000000,1.119762,3.14135701,0.003679702202
10000000,10.985282,3.141779135,0.0004733666158
100,0.00023,3.307954156,0.207632174
10000,0.011531,3.131463468,0.02512393657
100000,0.133955,3.140080031,0.006293427268
1000000,1.131294,3.141931145,0.001817070498
10000000,11.564474,3.141537707,0.0007152221429
100,0.000259,3.288603272,0.2199845374
10000,0.011662,3.159142153,0.02404928106
100000,0.12821,3.141872747,0.01179245571
1000000,1.29504,3.140625271,0.001443402945
10000000,13.80125,3.141648966,0.0006674444934
100,0.000227,3.187034694,0.2627275371
10000,0.013359,3.1399631,0.01234438817
100000,0.138468,3.141225211,0.003432840072
1000000,1.216642,3.141630911,0.002427648271
10000000,12.779827,3.14109711,0.0009126071286
100,0.000246,3.17016448,0.2240438757
10000,0.011561,3.151798261,0.01347014856
100000,0.124112,3.14576356,0.007181258569
1000000,1.2496,3.142035662,0.003017817562
10000000,11.817004,3.141533592,0.0006715684916
100,0.000166,3.04691648,0.3336402493
10000,0.011028,3.13893682,0.02826374816
100000,0.112152,3.136423718,0.008836597916
1000000,1.117639,3.140501003,0.00288076635
10000000,11.059174,3.141710714,0.0007944533732
100,0.000232,3.084422802,0.152763841
10000,0.011844,3.142373856,0.0169302583
100000,0.116215,3.144490506,0.007796162228
1000000,1.094541,3.141857609,0.002534366017
10000000,10.978052,3.141552455,0.0007007970777
100,0.000312,3.118407146,0.2604368378
10000,0.010761,3.146846266,0.02263396637
100000,0.110402,3.143504033,0.008184092372
1000000,1.205248,3.141814392,0.001565623048
10000000,12.322138,3.141384649,0.0004692000819
100,0.000213,3.27280078,0.2936178288
10000,0.011359,3.147789444,0.01920155442
100000,0.121948,3.138466707,0.005761578696
1000000,1.131227,3.141194772,0.001179907426
10000000,11.289101,3.14182117,0.0008007319602
100,0.000179,3.143380102,0.2468037148
10000,0.012357,3.143307589,0.02070624985
100000,0.119135,3.140652155,0.004951159997
1000000,1.324293,3.143218387,0.002785485602
10000000,11.679923,3.141409388,0.0005299368181
100,0.00028,3.084832349,0.1551107465
10000,0.011188,3.126217872,0.01717981983
100000,0.112654,3.140499638,0.007523936119
1000000,1.232927,3.142125739,0.001447444459
10000000,11.859297,3.141403133,0.0005628370117
